,cfs,damped,knn,start_date,task
84,0.4651,0.2419,-0.331133320875995,2017-08-08,precip56
85,0.0753,0.0097,-0.15006970445225054,2017-08-22,precip56
86,-0.1953,-0.4253,0.6364244942150562,2017-09-05,precip56
87,-0.3254,0.5401,-0.5418832751687417,2017-09-19,precip56
88,-0.0151,-0.1761,0.05642211092979399,2017-10-03,precip56
89,0.2191,-0.3249,0.22804797945209432,2017-10-17,precip56
90,0.3895,-0.2685,0.3581756045453999,2017-10-31,precip56
91,-0.563,0.04,-0.06409761029931937,2017-11-14,precip56
92,0.7058,-0.5063,0.3702651629398568,2017-11-28,precip56
93,-0.3406,-0.3022,0.5633589746657479,2017-12-12,precip56
94,0.0839,-0.5756,0.7846045909131556,2017-12-26,precip56
95,-0.3738,0.4498,-0.09351202410285953,2018-01-09,precip56
96,0.6004,-0.48,0.40104274215775715,2018-01-23,precip56
97,0.7295,-0.1943,0.5334396061313705,2018-02-06,precip56
98,-0.2749,0.1487,-0.21391037360584142,2018-02-20,precip56
99,0.0706,-0.2456,0.25305796710937956,2018-03-06,precip56
100,-0.1196,0.1373,-0.2304018227043314,2018-03-20,precip56
101,0.2814,0.2561,-0.1634942511591706,2018-04-03,precip56
102,0.5098,-0.7983,0.793821476071675,2018-04-17,precip56
103,0.0692,-0.4375,0.5110112192187337,2018-05-01,precip56
